epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.57345,0.33965,0.61877,1,0.95394,0.049255,0.000255,0.000255
2,15.9208,0.27382,0.70235,1,0.8938,0.000452732,0.000452732,0.000452732
3,24.088,0.23827,0.65543,1,0.91553,0.000328982,0.000328982,0.000328982
4,32.3864,0.211,0.66569,1,0.84709,0.000176018,0.000176018,0.000176018
5,40.9683,0.22206,0.67009,1,0.78035,5.22683e-05,5.22683e-05,5.22683e-05
