epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.5428,0.83604,0.65689,1,0.79004,0.00035725,0.00035725,0.00035725
2,37.122,0.50527,0.59091,1,1.02002,0.00065664,0.00065664,0.00065664
3,45.7859,0.44313,0.67595,1,0.74105,0.000882465,0.000882465,0.000882465
4,53.5144,0.40408,0.72434,1,0.65365,0.00100459,0.00100459,0.00100459
5,62.1423,0.37323,0.73754,1,0.66488,0.000863116,0.000863116,0.000863116
6,69.9373,0.36137,0.69355,1,0.6792,0.000721645,0.000721645,0.000721645
7,78.4729,0.31658,0.72727,1,0.61979,0.000580174,0.000580174,0.000580174
8,86.1441,0.30083,0.739,1,0.66439,0.000438703,0.000438703,0.000438703
9,94.7908,0.27364,0.71848,1,0.63021,0.000297232,0.000297232,0.000297232
10,102.579,0.2498,0.69062,1,0.72835,0.000155761,0.000155761,0.000155761
